YEL068C,126.299.948.542.569,YJR091C
YEL068C,126.299.948.542.569,YLR225C
YGR290W,363.330.446.239.122,YLR147C
YOR190W,126.299.948.542.569,YPR033C
YBR237W,126.299.948.542.569,YDR073W
YHL023C,573.290.479.777.183,YIL144W
YER137C,126.299.948.542.569,YMR025W
YDL125C,544.498.967.386.216,YPL240C
YDL125C,126.299.948.542.569,YJR091C
YDL125C,573.290.479.777.183,YLL024C
YDL125C,126.299.948.542.569,YER075C
YCR039C,999.992.470.356.905,YCR097W
YCR039C,812.962.790.923.786,YMR043W
YJR011C,126.299.948.542.569,YOR047C
YJR011C,573.290.479.777.183,YPR080W
YJR011C,126.299.948.542.569,YNR069C
YPL187W,544.498.967.386.216,YPL218W
YPL187W,812.962.790.923.786,YPR181C
YFR026C,126.299.948.542.569,YGL127C
YFR026C,126.299.948.542.569,YOR362C
YDR255C,126.299.948.542.569,YKL144C
YDR255C,845.928.714.415.022,YMR135C
YDR255C,845.928.714.415.022,YGL227W
YBR134W,126.299.948.542.569,YOR128C
YGL077C,544.498.967.386.216,YPL240C
YGL077C,363.330.446.239.122,YPL076W
YDL247W,544.498.967.386.216,YPL240C
YDL247W,126.299.948.542.569,YDR034C
YGR031W,573.290.479.777.183,YGR214W
YGR031W,126.299.948.542.569,YHR114W
YGR031W,573.290.479.777.183,YOL086C
YKL019W,126.299.948.542.569,YML097C
YGL155W,97.288.092.173.533,YKL019W
YCR069W,573.290.479.777.183,YOL086C
YCR069W,573.290.479.777.183,YLR044C
YGR291C,126.299.948.542.569,YPR086W
YDR339C,573.290.479.777.183,YGL006W
YBR190W,126.299.948.542.569,YLR117C
YOR074C,126.299.948.542.569,YPR086W
YOR074C,126.299.948.542.569,YPL093W
YDL241W,126.299.948.542.569,YLR447C
YDR470C,982.896.104.369.073,YOR211C
YOR009W,544.498.967.386.216,YPL240C
YJL147C,573.290.479.777.183,YLR222C
YLL003W,982.896.104.369.073,YOR257W
YDL235C,999.972.622.062.264,YIL147C
YDL235C,573.290.479.777.183,YOR272W
YDL235C,982.896.104.369.073,YHR206W
YDL235C,544.498.967.386.216,YJR074W
YDL235C,99.999.943.048.195,YLR006C
YHR155W,573.290.479.777.183,YKL081W
YER128W,126.299.948.542.569,YPR173C
YOR053W,544.498.967.386.216,YPL240C
YOL106W,126.299.948.542.569,YPR182W
YGL215W,656.501.424.931.404,YPL031C
YGL215W,126.299.948.542.569,YMR047C
YFL061W,126.299.948.542.569,YMR055C
YFL061W,126.299.948.542.569,YNL189W
YGL083W,126.299.948.542.569,YMR264W
YML125C,126.299.948.542.569,YMR153W
YLR038C,126.299.948.542.569,YML125C
YLL047W,126.299.948.542.569,YMR069W
YDL223C,544.498.967.386.216,YNR032C-A
YDL223C,573.290.479.777.183,YIL144W
YDL223C,573.290.479.777.183,YMR049C
YBR029C,812.962.790.923.786,YDR386W
YBR029C,363.330.446.239.122,YCR061W
